page_name,page_id,type
Rwanda,25645,former_featured_articles
San Francisco,49728,former_featured_articles
"San Jose, California",53446,former_featured_articles
Sarajevo,26786,former_featured_articles
Seattle,11388236,former_featured_articles
Shahbag,6888735,former_featured_articles
Shaw and Crompton,3109101,former_featured_articles
Sheerness,452246,former_featured_articles
Sheffield,88885,former_featured_articles
Sikkim,140372,former_featured_articles
Somerset,51763,former_featured_articles
South Africa,17416221,former_featured_articles
"South Side, Chicago",12670114,former_featured_articles
"St Kilda, Scotland",151806,former_featured_articles
Stretford,1074030,former_featured_articles
Suburbs of Johannesburg,1406945,former_featured_articles
"Technopark, Trivandrum",1049215,former_featured_articles
"Tulsa, Oklahoma",150969,former_featured_articles
Turkey,11125639,former_featured_articles
Vancouver,32706,former_featured_articles
West Bengal,34040,former_featured_articles
Westgate-on-Sea,1120429,former_featured_articles
Whitstable,382011,former_featured_articles
Yellowstone National Park,34340,former_featured_articles
Yosemite National Park,48664,former_featured_articles
"Youngstown, Ohio",150927,former_featured_articles
Zambezi,102930,former_featured_articles
1755 Lisbon earthquake,352339,former_featured_articles
2004 Indian Ocean earthquake and tsunami,1328236,former_featured_articles
Eldfell,623914,former_featured_articles
Geologic time scale,12967,former_featured_articles
Geology of the Bryce Canyon area,643999,former_featured_articles
Geology of the Capitol Reef area,1114005,former_featured_articles
Geology of the Death Valley area,1134149,former_featured_articles
Geyser,13034,former_featured_articles
Mount Pinatubo,500560,former_featured_articles
Plate tectonics,24944,former_featured_articles
Silverpit crater,1374669,former_featured_articles
Acute myeloid leukemia,4323952,former_featured_articles
Alzheimer's disease,18914017,former_featured_articles
Anabolic steroid,19218324,former_featured_articles
Asperger syndrome,37556,former_featured_articles
Asthma,44905,former_featured_articles
Autism,25,former_featured_articles
Baby Gender Mentor,2795907,former_featured_articles
Bloodletting,64196,former_featured_articles
Breastfeeding,19347033,former_featured_articles
Cystic fibrosis,50601,former_featured_articles
Down syndrome,8303,former_featured_articles
Eli Lilly,2319826,former_featured_articles
Gene,4250553,former_featured_articles
Hippocrates,13486,former_featured_articles
HIV/AIDS,5069516,former_featured_articles
Human tooth development,2080429,former_featured_articles
Huntington's disease,47878,former_featured_articles
Keratoconus,252630,former_featured_articles
Lesch–Nyhan syndrome,1115749,former_featured_articles
Macfarlane Burnet,417493,former_featured_articles
Management of multiple sclerosis,7663818,former_featured_articles
Médecins Sans Frontières,20498,former_featured_articles
Michael Woodruff,4829979,former_featured_articles
Multiple sclerosis,50603,former_featured_articles
Parkinson's disease,22228064,former_featured_articles
Pneumonia,52135,former_featured_articles
Severe acute respiratory syndrome,69517259,former_featured_articles
Stuttering,28394,former_featured_articles
Tooth enamel,314628,former_featured_articles
Tuberculosis,30653,former_featured_articles
Canadian Heraldic Authority,2254779,former_featured_articles
Ecclesiastical heraldry,5549981,former_featured_articles
Flag of Armenia,417424,former_featured_articles
Flag of Australia,5094710,former_featured_articles
Flag of Germany,70776,former_featured_articles
Flag of India,978203,former_featured_articles
Flag of Lithuania,459177,former_featured_articles
Flag of Mexico,18955303,former_featured_articles
Flag of Portugal,455084,former_featured_articles
Flag of the Republic of China,184224,former_featured_articles
Flag of South Africa,89355,former_featured_articles
Hero of Belarus,1888300,former_featured_articles
Hero of Ukraine,2275449,former_featured_articles
John Brooke-Little,4072359,former_featured_articles
Medal of Honor,40331925,former_featured_articles
National emblem of Belarus,457096,former_featured_articles
Order of St Patrick,333778,former_featured_articles
Order of the Bath,311455,former_featured_articles
1965 Palm Sunday tornado outbreak,416764,former_featured_articles
1989 Tiananmen Square protests and massacre,44534,former_featured_articles
1993 Russian constitutional crisis,737701,former_featured_articles
2007 Samjhauta Express bombings,9590186,former_featured_articles
Adoption in ancient Rome,343816,former_featured_articles
Alcibiades,61322,former_featured_articles
Athanasius Kircher,93815,former_featured_articles
Attila,841,former_featured_articles
Behistun Inscription,4789,former_featured_articles
British Empire,4721,former_featured_articles
Caral-Supe civilization,75576620,former_featured_articles
Carl G. Fisher,1583215,former_featured_articles
Charles Edward Magoon,2604208,former_featured_articles
Che Guevara,13623554,former_featured_articles
Chola dynasty,3118873,former_featured_articles
Claudius,6140,former_featured_articles
Columbine High School massacre,59627,former_featured_articles
Congo Free State,190287,former_featured_articles
Dayuan,1076585,former_featured_articles
Demosthenes,46605,former_featured_articles
Adriaen van der Donck,3104938,former_featured_articles
Dreyfus affair,66179,former_featured_articles
Elwood Haynes,9174707,former_featured_articles
Emperor Norton,2890783,former_featured_articles
England expects that every man will do his duty,879180,former_featured_articles
Epaminondas,82489,former_featured_articles
Eureka Rebellion,9833,former_featured_articles
Ferdinand Magellan,19914843,former_featured_articles
First Crusade,106128,former_featured_articles
Franks,2462183,former_featured_articles
Franklin B. Gowen,1561409,former_featured_articles
Gettysburg Address,12384,former_featured_articles
Growth of the Old Swiss Confederacy,1063933,former_featured_articles
Habsburg Spain,938546,former_featured_articles
Harriet Arbuthnot,6300132,former_featured_articles
Helen Gandy,14018,former_featured_articles
History of Alaska,2534014,former_featured_articles
History of Arizona,2366732,former_featured_articles
History of the Cape Colony from 1806 to 1870,215063,former_featured_articles
History of the Cape Colony from 1870 to 1899,214960,former_featured_articles
History of Central Asia,1577162,former_featured_articles
